index;x;y;z
170;-0.032349;0.373367;-0.741318
171;-0.003998;0.423386;-0.784424
172;0.008072;0.460281;-0.766205
173;0.024918;0.441879;-0.727173
174;0.056152;0.535400;-0.775528
175;0.097183;0.577087;-0.831863
176;0.062973;0.404327;-0.712982
177;0.045166;0.304642;-0.707184
178;0.010239;0.411530;-0.832352
179;-0.014893;0.446198;-0.905640
180;-0.016937;0.574448;-1.014297
181;-0.001953;0.658783;-1.042450
182;0.028046;0.657303;-1.059723
183;0.056412;0.599289;-1.033066
184;0.077087;0.457260;-0.946976
185;0.082611;0.364914;-0.857086
186;0.113052;0.326950;-0.815781
187;0.180557;0.391083;-0.848816
188;0.192703;0.350494;-0.807373
189;0.155640;0.313507;-0.743469
190;0.086700;0.494537;-0.853592
191;-0.006821;0.658905;-0.907288
192;-0.026230;0.540268;-0.880707
193;0.061966;0.543259;-0.907028
194;0.112610;0.445129;-0.814026
195;0.067215;0.528488;-0.851456
196;0.029922;0.622513;-0.854721
197;0.070587;0.620392;-0.842255
198;0.103333;0.620453;-0.837631
199;0.118668;0.578354;-0.835541
200;0.142761;0.615219;-0.906799
201;0.124741;0.499649;-0.785233
202;0.083801;0.456497;-0.775604
203;0.035965;0.499161;-0.749084
204;0.044983;0.481384;-0.758438
205;0.071289;0.577316;-0.818954
206;0.066040;0.497345;-0.702011
207;0.069260;0.456757;-0.714661
208;0.060181;0.519806;-0.755142
209;0.074142;0.588257;-0.859695
210;0.116119;0.677078;-0.923798
211;0.126923;0.670700;-0.916428
212;0.072525;0.667740;-0.938705
213;0.011963;0.684204;-0.995789
214;0.016998;0.584244;-0.925278
215;0.062271;0.467285;-0.787872
216;0.072220;0.369751;-0.662033
217;0.070816;0.437515;-0.685379
218;0.076340;0.604370;-0.731262
219;0.041199;0.685638;-0.806793
220;0.037216;0.547699;-0.739059
221;0.056763;0.481323;-0.763550
222;0.065186;0.597885;-0.870377
223;0.089935;0.693222;-0.913589
224;0.119736;0.627213;-0.920212
225;0.138504;0.662521;-0.976669
226;0.127304;0.587418;-0.866425
227;0.133331;0.436447;-0.775024
228;0.101898;0.356430;-0.736969
229;0.044952;0.395233;-0.822693
230;0.014755;0.442505;-0.870956
231;0.049255;0.425766;-0.898758
232;0.052094;0.360596;-0.851105
233;0.051208;0.432495;-0.814651
234;0.077911;0.611618;-0.878311
235;0.107452;0.700806;-0.856949
236;0.119431;0.732574;-0.866104
237;0.118042;0.804428;-0.819305
238;0.085831;0.716919;-0.801147
239;0.063965;0.544403;-0.727844
240;0.072464;0.509949;-0.725281
241;0.068268;0.620865;-0.839844
242;0.043839;0.609009;-0.898392
243;0.045166;0.475281;-0.838989
