index;x;y;z
180;-0.512878;0.710693;0.129654
181;-0.521423;0.763702;0.293610
182;-0.366104;0.687057;0.245270
183;-0.195755;0.720139;0.588470
184;-0.201202;0.847702;0.593628
185;-0.402405;1.255417;0.931885
186;-0.511978;1.196609;0.860245
187;-0.264023;0.896118;0.514099
188;-0.143265;0.742477;0.581406
189;-0.060593;0.675644;0.232361
190;-0.323593;0.870972;0.479324
191;-0.357864;0.984421;0.518265
192;-0.383774;0.853806;0.597488
193;-0.304108;0.842789;0.494781
194;-0.368393;0.784668;0.541138
195;-0.278061;0.796799;0.574890
196;-0.187363;0.736237;0.273071
197;-0.304504;0.823059;0.560013
198;-0.256561;0.874695;0.670258
199;-0.314713;0.987061;0.628464
200;-0.300644;0.787598;0.446060
201;-0.330490;0.810532;0.487167
202;-0.294479;0.655045;0.442795
203;-0.327667;0.884384;0.510376
204;-0.448669;0.977188;0.776138
205;-0.383774;0.904617;0.539520
206;-0.143433;0.732437;0.377533
207;-0.230118;0.770721;0.652313
208;-0.257858;0.914047;0.544342
209;-0.341446;0.971786;0.503571
210;-0.264648;0.641556;0.569962
211;-0.159058;0.805557;0.355515
212;-0.207550;0.544266;0.442932
213;-0.157654;0.508987;0.407166
214;-0.413971;0.692230;0.654633
215;-0.410294;0.948196;0.691711
216;-0.433990;0.916962;0.602905
217;-0.310791;0.973969;0.509262
218;-0.278641;0.762756;0.609207
219;-0.380035;0.777161;0.682968
220;-0.240952;0.845291;0.155807
221;-0.294327;0.744812;0.458725
222;-0.295944;0.626740;0.546722
223;-0.232635;0.721024;0.479965
224;-0.309738;0.903595;0.646423
225;-0.249969;1.077530;0.497513
226;-0.140640;0.963318;0.301392
227;0.001007;0.891357;0.373001
228;-0.328751;0.925415;0.823029
229;-0.170731;0.961044;0.259293
230;-0.203537;0.621780;0.262939
231;-0.050003;0.710709;0.450409
232;-0.143753;1.064651;0.523697
233;-0.095139;0.963211;0.347977
234;-0.126587;0.902557;0.437271
235;-0.141373;0.734024;0.467178
236;-0.145966;0.899277;0.368103
237;-0.278229;0.932175;0.594711
238;-0.290512;1.028412;0.480164
239;-0.237427;0.851593;0.546646
240;-0.158951;0.912186;0.340332
241;-0.187225;0.870682;0.519562
242;-0.151077;0.940704;0.387115
243;-0.107758;0.835205;0.290680
244;-0.079315;0.819977;0.364853
245;-0.108032;0.953125;0.436035
246;-0.153442;0.926041;0.392456
247;-0.152863;0.889893;0.461868
248;-0.092819;0.809052;0.295685
249;-0.140656;0.822891;0.411697
250;-0.243362;1.029297;0.642044
251;-0.211243;1.125046;0.481674
252;-0.165695;0.870926;0.434372
253;-0.162933;0.779404;0.424118
254;-0.156158;0.933380;0.517181
255;-0.178101;0.897217;0.478394
256;-0.123489;0.889938;0.340302
257;-0.093018;0.959213;0.528229
258;-0.171570;0.936966;0.480835
259;-0.036911;0.702087;0.145935
260;-0.086243;0.912689;0.570480
261;-0.177902;0.953491;0.489029
262;-0.248566;1.070999;0.347641
263;-0.153015;1.000107;0.440613
264;-0.204285;0.935226;0.552399
265;-0.179016;0.899734;0.338791
266;-0.150925;0.875656;0.411896
267;-0.129547;0.842102;0.356079
268;-0.243439;0.924271;0.470428
269;-0.156631;0.884552;0.392288
270;-0.185089;0.857193;0.314529
271;-0.163971;0.802429;0.388824
272;-0.116653;0.945679;0.190582
273;-0.193497;0.956314;0.466492
274;-0.196915;1.078751;0.441208
275;-0.181747;1.046188;0.453735
276;-0.157242;0.811279;0.378479
277;-0.197647;0.792679;0.334915
278;-0.154480;0.628586;0.361084
279;-0.143845;0.753525;0.084991
280;-0.143646;0.816849;0.373291
281;-0.178696;1.032120;0.396194
282;-0.237091;1.274612;0.613083
283;-0.149170;1.192963;0.398300
284;-0.179062;1.108383;0.593872
285;-0.146042;0.926987;0.335526
286;-0.183975;0.694550;0.257629
287;-0.064285;0.497269;0.191269
288;-0.084991;0.570038;0.138596
289;-0.075287;0.842651;0.286850
290;-0.142776;1.066864;0.229752
291;-0.202286;1.214066;0.583252
292;-0.224167;0.992752;0.504349
293;-0.221054;0.970459;0.447266
294;-0.181534;1.046326;0.411255
295;-0.142075;0.977264;0.457367
296;-0.221695;0.915131;0.567688
297;-0.247650;0.794647;0.356094
298;-0.147308;0.797333;0.278305
299;-0.247116;0.971512;0.500000
300;-0.223679;1.030304;0.440994
301;-0.169662;0.851669;0.316772
302;0.011826;0.656876;0.028931
303;-0.161469;0.920654;0.528793
304;-0.247391;1.097565;0.582443
305;-0.238861;1.115860;0.302994
306;-0.138901;0.869583;0.401184
307;-0.191238;0.808563;0.447098
308;-0.179337;0.744568;0.321884
309;-0.176361;1.000000;0.285461
310;-0.175949;0.932266;0.533783
311;-0.234802;0.934616;0.374878
312;-0.217056;0.925217;0.304382
313;-0.130508;0.911865;0.325851
314;-0.261230;0.839203;0.498749
315;-0.204865;0.952133;0.170303
316;-0.176178;1.053513;0.508453
317;-0.174698;0.844818;0.336258
318;-0.237457;0.905273;0.382309
319;-0.134338;0.882202;0.315140
320;-0.205399;0.940750;0.535324
321;-0.211075;0.945526;0.292603
322;-0.123795;0.824448;0.215134
323;-0.126205;0.854187;0.304871
324;-0.174271;0.949219;0.412628
325;-0.117920;0.944229;0.252350
326;-0.167999;1.060486;0.351089
327;-0.114029;1.077240;0.281662
328;-0.165039;1.022324;0.317856
329;-0.154190;0.828003;0.319687
330;-0.110825;0.782562;0.184753
331;-0.155106;0.834778;0.344040
332;-0.167099;1.037888;0.321671
333;-0.195389;0.930008;0.373810
334;-0.198334;0.821701;0.394012
335;-0.134979;0.991150;0.335144
336;-0.159134;1.017593;0.311523
337;-0.152298;0.954453;0.341782
338;-0.111893;0.838196;0.140137
339;-0.120895;0.842850;0.276917
340;-0.073959;0.834366;0.238449
341;-0.175873;0.958618;0.372223
342;-0.150635;1.047775;0.385559
343;-0.212433;0.946014;0.529007
344;-0.208862;0.919403;0.354736
